"school.id","behaviour.improvement","teacher.support","money"
2,3.22222222222222,3,8000
2,3.33333333333333,3,8000
2,2,2,8000
8,2.11111111111111,3,5600
8,1.66666666666667,3,5600
8,3.25,3,5600
8,3.33333333333333,3,5600
8,3.55555555555556,4,5600
8,2.88888888888889,4,5600
8,3,3,5600
8,1.77777777777778,2,5600
8,2.5,4,5600
9,4,3,32000
9,3.22222222222222,3,32000
9,3,3,32000
9,3.44444444444444,4,32000
9,2,3,32000
9,4,4,32000
10,2.77777777777778,4,280
10,2.77777777777778,3,280
10,2.55555555555556,4,280
10,3.66666666666667,4,280
10,3.22222222222222,4,280
10,2,3,280
10,1.77777777777778,3,280
12,2.88888888888889,3,15975
12,4,4,15975
12,3.22222222222222,4,15975
12,2,4,15975
12,3.11111111111111,3,15975
12,3.22222222222222,4,15975
12,3,4,15975
12,3.22222222222222,4,15975
12,4,4,15975
12,3,4,15975
12,2.66666666666667,4,15975
12,3.66666666666667,4,15975
14,3.33333333333333,3,15000
14,3.11111111111111,4,15000
14,3.33333333333333,4,15000
14,3,3,15000
14,2.33333333333333,4,15000
14,3.77777777777778,1,15000
14,4,4,15000
14,1.88888888888889,3,15000
19,2.33333333333333,3,29250
19,3.22222222222222,3,29250
19,3.11111111111111,4,29250
19,3,4,29250
19,1.33333333333333,4,29250
19,4,4,29250
19,4,4,29250
19,3.2,4,29250
19,1.55555555555556,3,29250
19,3,4,29250
20,2.55555555555556,3,5000
20,2.55555555555556,4,5000
20,2.55555555555556,4,5000
20,1,1,5000
20,2,4,5000
20,1,2,5000
20,3.55555555555556,4,5000
22,2.22222222222222,3,30000
22,3.22222222222222,3,30000
22,3,3,30000
22,4,3,30000
22,2.33333333333333,3,30000
22,1.66666666666667,3,30000
22,2.77777777777778,4,30000
23,3.66666666666667,4,3435
23,2.88888888888889,4,3435
23,3,3,3435
23,3.77777777777778,4,3435
23,2.77777777777778,3,3435
23,3.44444444444444,4,3435
23,4,4,3435
23,3.11111111111111,4,3435
23,3,4,3435
23,3.66666666666667,3,3435
25,2.11111111111111,4,2e+05
25,3.5,3,2e+05
25,2,3,2e+05
25,3.66666666666667,4,2e+05
25,3.88888888888889,4,2e+05
25,3.11111111111111,3,2e+05
26,2.77777777777778,3,25000
26,3,3,25000
26,3.77777777777778,4,25000
26,2.22222222222222,4,25000
26,3.11111111111111,4,25000
26,3.22222222222222,4,25000
26,3,2,25000
26,4,4,25000
26,1.44444444444444,3,25000
26,3,4,25000
28,3,4,48000
28,3,3,48000
28,1,1,48000
28,1.33333333333333,2,48000
28,3,3,48000
28,3.77777777777778,3,48000
28,4,4,48000
29,3.55555555555556,4,14400
29,3.57142857142857,3,14400
29,2.33333333333333,2,14400
29,1.88888888888889,4,14400
29,3.55555555555556,4,14400
29,3.88888888888889,4,14400
29,3.77777777777778,4,14400
29,3.11111111111111,4,14400
33,3.44444444444444,3,3500
33,3.66666666666667,4,3500
33,2,3,3500
33,3.22222222222222,4,3500
33,3.33333333333333,4,3500
33,3,4,3500
33,1,4,3500
33,3.22222222222222,3,3500
33,3,4,3500
33,1,4,3500
38,3.25,4,9000
38,3.55555555555556,4,9000
38,3.55555555555556,3,9000
38,3.22222222222222,3,9000
38,3.25,3,9000
39,3.33333333333333,3,19637
39,2.88888888888889,4,19637
39,3.55555555555556,4,19637
39,2,4,19637
39,4,4,19637
39,4,4,19637
39,3,3,19637
39,3.44444444444444,4,19637
39,3.55555555555556,4,19637
39,3.77777777777778,4,19637
40,3,3,14867
40,3.125,3,14867
40,3,3,14867
40,3.8,4,14867
40,3.88888888888889,4,14867
40,3.85714285714286,4,14867
40,4,4,14867
40,4,4,14867
40,2.66666666666667,4,14867
40,3.33333333333333,3,14867
41,3.55555555555556,4,50000
41,3.55555555555556,3,50000
41,3.11111111111111,4,50000
41,3,3,50000
41,3,3,50000
44,3.55555555555556,4,8000
44,2.55555555555556,4,8000
44,2.66666666666667,3,8000
44,4,4,8000
44,3.55555555555556,3,8000
44,3.11111111111111,4,8000
44,3.11111111111111,3,8000
44,3,4,8000
44,2.66666666666667,4,8000
44,2.22222222222222,1,8000
44,3.11111111111111,2,8000
44,4,4,8000
45,3,4,5000
45,3.66666666666667,4,5000
45,3.44444444444444,4,5000
45,3.33333333333333,4,5000
45,3,4,5000
45,3,4,5000
45,2.55555555555556,4,5000
49,3,3,0
49,3.44444444444444,4,0
49,3.22222222222222,3,0
49,3.66666666666667,4,0
49,2.88888888888889,4,0
49,3.44444444444444,2,0
49,3.11111111111111,4,0
49,3.44444444444444,4,0
49,2.44444444444444,3,0
49,2.33333333333333,4,0
49,1.77777777777778,3,0
49,2.33333333333333,4,0
49,3.33333333333333,4,0
50,3.44444444444444,3,11000
50,2.44444444444444,4,11000
51,2.77777777777778,4,11000
51,3.16666666666667,4,11000
51,4,4,11000
51,3,4,11000
51,4,4,11000
51,2.11111111111111,4,11000
51,1,4,11000
51,1,4,11000
51,2.11111111111111,4,11000
51,2.44444444444444,4,11000
52,3.11111111111111,3,15000
52,3.22222222222222,3,15000
52,2.5,3,15000
