"","dress","tattoo","time","gender","ethnicity","age"
"1",0,1,10,1,1,0
"2",0,0,51,0,1,1
"3",0,1,31,1,1,0
"4",0,0,75,0,2,0
"5",0,1,132,0,1,0
"6",0,1,112,0,1,1
"7",0,0,13,0,1,0
"8",0,1,122,1,1,1
"9",0,0,7,0,3,0
"10",0,1,140,0,2,0
"11",0,0,120,0,2,0
"12",0,1,80,0,1,0
"13",0,0,4,1,1,0
"14",0,1,166,0,1,1
"15",0,0,5,1,1,0
"16",0,1,8,1,3,1
"17",0,0,43,0,1,0
"18",0,1,25,0,1,1
"19",0,0,29,1,1,0
"20",0,1,29,0,1,1
"21",0,0,61,0,1,0
"22",0,1,70,0,1,1
"23",0,0,40,0,1,1
"24",0,1,11,0,2,1
"25",0,0,35,0,1,0
"26",0,1,130,0,1,0
"27",0,0,3,1,2,0
"28",0,1,8,1,2,1
"29",0,0,71,0,1,1
"30",0,0,30,0,1,1
"31",1,0,3,1,3,1
"32",1,0,155,1,1,1
"33",1,0,50,1,1,0
"34",1,0,44,0,3,0
"35",1,0,39,0,1,0
"36",1,0,4,0,1,1
"37",1,0,45,0,2,0
"38",1,0,25,1,1,1
"39",1,0,66,0,1,0
"40",1,0,60,1,1,1
"41",1,0,80,0,1,1
"42",1,0,41,1,1,1
"43",1,0,3,0,1,1
"44",1,0,32,0,1,0
"45",1,0,5,0,1,0
"46",1,1,65,0,1,1
"47",1,1,21,0,1,0
"48",1,1,60,0,1,1
"49",1,1,5,0,1,0
"50",1,1,33,0,1,1
"51",1,1,3,1,1,0
"52",1,1,3,1,1,0
"53",1,1,4,1,1,1
"54",1,1,36,1,1,0
"55",1,1,45,0,2,1
"56",1,1,3,0,1,0
"57",1,1,4,0,1,1
"58",1,1,155,0,3,0
"59",1,1,76,1,2,1
"60",1,1,12,1,1,1
"61",1,0,120,1,1,1
"62",1,1,35,1,1,0
"63",1,0,46,1,2,1
"64",1,1,22,1,1,1
"65",1,0,64,0,3,0
"66",1,1,5,0,1,0
"67",1,0,65,1,2,1
"68",1,1,13,1,1,0
"69",1,0,3,1,1,0
"70",1,1,53,0,1,1
"71",0,0,25,1,2,0
"72",0,1,75,1,1,0
"73",0,0,22,0,3,1
"74",0,1,40,1,1,1
"75",0,0,2,1,1,1
"76",0,1,26,1,2,0
"77",0,0,5,0,2,0
"78",0,1,126,0,1,0
"79",0,0,90,1,1,1
"80",0,1,11,1,3,1
